family	type	auc
Ets-related factors{3.5.2}	all	0.84567
Ets-related factors{3.5.2}	all	0.92018
Ets-related factors{3.5.2}	all	0.86878
Ets-related factors{3.5.2}	all	0.86047
Ets-related factors{3.5.2}	all	0.87805
Ets-related factors{3.5.2}	all	0.87536
Ets-related factors{3.5.2}	all	0.88707
Ets-related factors{3.5.2}	all	0.55904
Ets-related factors{3.5.2}	all	0.87585
Ets-related factors{3.5.2}	all	0.86645
Ets-related factors{3.5.2}	all	0.95918
Ets-related factors{3.5.2}	all	0.95324
Ets-related factors{3.5.2}	all	0.95366
Ets-related factors{3.5.2}	all	0.689
Ets-related factors{3.5.2}	all	0.77534
Ets-related factors{3.5.2}	all	0.7606
Ets-related factors{3.5.2}	all	0.72986
Ets-related factors{3.5.2}	all	0.40137
Ets-related factors{3.5.2}	all	0.35467
Ets-related factors{3.5.2}	all	0.51399
Ets-related factors{3.5.2}	all	0.62261
Ets-related factors{3.5.2}	all	0.8047
Ets-related factors{3.5.2}	all	0.80258
Ets-related factors{3.5.2}	all	0.82394
Ets-related factors{3.5.2}	all	0.81637
Ets-related factors{3.5.2}	all	0.83476
Ets-related factors{3.5.2}	all	0.69224
Ets-related factors{3.5.2}	all	0.67446
Ets-related factors{3.5.2}	all	0.64781
Ets-related factors{3.5.2}	all	0.79567
Ets-related factors{3.5.2}	all	0.80227
Ets-related factors{3.5.2}	all	0.74921
Ets-related factors{3.5.2}	all	0.88732
Ets-related factors{3.5.2}	all	0.79898
Ets-related factors{3.5.2}	all	0.8124
Ets-related factors{3.5.2}	all	0.80085
Ets-related factors{3.5.2}	all	0.79236
Ets-related factors{3.5.2}	all	0.70397
Ets-related factors{3.5.2}	all	0.56425
Ets-related factors{3.5.2}	all	0.65104
Ets-related factors{3.5.2}	all	0.70233
Ets-related factors{3.5.2}	all	0.69092
Ets-related factors{3.5.2}	all	0.74364
Ets-related factors{3.5.2}	all	0.66307
Ets-related factors{3.5.2}	all	0.73848
Ets-related factors{3.5.2}	all	0.64105
Ets-related factors{3.5.2}	all	0.59815
Ets-related factors{3.5.2}	all	0.7718
Ets-related factors{3.5.2}	all	0.75339
Ets-related factors{3.5.2}	all	0.72639
Ets-related factors{3.5.2}	all	0.76258
Ets-related factors{3.5.2}	all	0.82837
Ets-related factors{3.5.2}	all	0.56806
Ets-related factors{3.5.2}	all	0.83259
Ets-related factors{3.5.2}	all	0.85087
