family	type	auc
Ets-related factors{3.5.2}	all	0.78027
Ets-related factors{3.5.2}	all	0.59796
Ets-related factors{3.5.2}	all	0.57941
Ets-related factors{3.5.2}	all	0.55576
Ets-related factors{3.5.2}	all	0.64567
Ets-related factors{3.5.2}	all	0.80853
Ets-related factors{3.5.2}	all	0.74387
Ets-related factors{3.5.2}	all	0.81073
Ets-related factors{3.5.2}	all	0.78909
Ets-related factors{3.5.2}	all	0.81227
Ets-related factors{3.5.2}	all	0.8033
Ets-related factors{3.5.2}	all	0.8268
Ets-related factors{3.5.2}	all	0.80308
Ets-related factors{3.5.2}	all	0.82434
Ets-related factors{3.5.2}	all	0.8095
Ets-related factors{3.5.2}	all	0.84212
Ets-related factors{3.5.2}	all	0.82639
Ets-related factors{3.5.2}	all	0.8128
Ets-related factors{3.5.2}	all	0.80814
Ets-related factors{3.5.2}	all	0.80781
Ets-related factors{3.5.2}	all	0.83886
Ets-related factors{3.5.2}	all	0.9339
Ets-related factors{3.5.2}	all	0.8193
Ets-related factors{3.5.2}	all	0.91507
Ets-related factors{3.5.2}	all	0.81996
Ets-related factors{3.5.2}	all	0.8863
Ets-related factors{3.5.2}	all	0.88553
Ets-related factors{3.5.2}	all	0.89589
Ets-related factors{3.5.2}	all	0.91142
Ets-related factors{3.5.2}	all	0.57725
Ets-related factors{3.5.2}	all	0.731
Ets-related factors{3.5.2}	all	0.81133
Ets-related factors{3.5.2}	all	0.85444
Ets-related factors{3.5.2}	all	0.84218
Ets-related factors{3.5.2}	all	0.91947
Ets-related factors{3.5.2}	all	0.91001
Ets-related factors{3.5.2}	all	0.87191
Ets-related factors{3.5.2}	all	0.84674
Ets-related factors{3.5.2}	all	0.87923
Ets-related factors{3.5.2}	all	0.8563
Ets-related factors{3.5.2}	all	0.83863
Ets-related factors{3.5.2}	all	0.93278
Ets-related factors{3.5.2}	all	0.91843
Ets-related factors{3.5.2}	all	0.92584
Ets-related factors{3.5.2}	all	0.87142
Ets-related factors{3.5.2}	all	0.87009
Ets-related factors{3.5.2}	all	0.92318
Ets-related factors{3.5.2}	all	0.91687
Ets-related factors{3.5.2}	all	0.85503
Ets-related factors{3.5.2}	all	0.85518
Ets-related factors{3.5.2}	all	0.84256
Ets-related factors{3.5.2}	all	0.92932
Ets-related factors{3.5.2}	all	0.96452
Ets-related factors{3.5.2}	all	0.94526
Ets-related factors{3.5.2}	all	0.93732
Ets-related factors{3.5.2}	all	0.94968
Ets-related factors{3.5.2}	all	0.93817
Ets-related factors{3.5.2}	all	0.95039
Ets-related factors{3.5.2}	all	0.66428
Ets-related factors{3.5.2}	all	0.96158
Ets-related factors{3.5.2}	all	0.94907
Ets-related factors{3.5.2}	all	0.93699
Ets-related factors{3.5.2}	all	0.92749
Ets-related factors{3.5.2}	all	0.9292
Ets-related factors{3.5.2}	all	0.75905
Ets-related factors{3.5.2}	all	0.90099
Ets-related factors{3.5.2}	all	0.89394
Ets-related factors{3.5.2}	all	0.82879
Ets-related factors{3.5.2}	all	0.4819
Ets-related factors{3.5.2}	all	0.41713
Ets-related factors{3.5.2}	all	0.62501
Ets-related factors{3.5.2}	all	0.73379
Ets-related factors{3.5.2}	all	0.87614
Ets-related factors{3.5.2}	all	0.87964
Ets-related factors{3.5.2}	all	0.89285
Ets-related factors{3.5.2}	all	0.8727
Ets-related factors{3.5.2}	all	0.86441
Ets-related factors{3.5.2}	all	0.80128
Ets-related factors{3.5.2}	all	0.70283
Ets-related factors{3.5.2}	all	0.64619
Ets-related factors{3.5.2}	all	0.81656
Ets-related factors{3.5.2}	all	0.82445
Ets-related factors{3.5.2}	all	0.86792
Ets-related factors{3.5.2}	all	0.92236
Ets-related factors{3.5.2}	all	0.91188
Ets-related factors{3.5.2}	all	0.90128
Ets-related factors{3.5.2}	all	0.90357
Ets-related factors{3.5.2}	all	0.90062
Ets-related factors{3.5.2}	all	0.77091
Ets-related factors{3.5.2}	all	0.62321
Ets-related factors{3.5.2}	all	0.7228
Ets-related factors{3.5.2}	all	0.7665
Ets-related factors{3.5.2}	all	0.75722
Ets-related factors{3.5.2}	all	0.81095
Ets-related factors{3.5.2}	all	0.72273
Ets-related factors{3.5.2}	all	0.797
Ets-related factors{3.5.2}	all	0.70554
Ets-related factors{3.5.2}	all	0.66266
Ets-related factors{3.5.2}	all	0.86007
Ets-related factors{3.5.2}	all	0.83677
Ets-related factors{3.5.2}	all	0.84443
Ets-related factors{3.5.2}	all	0.84195
Ets-related factors{3.5.2}	all	0.85827
Ets-related factors{3.5.2}	all	0.54047
Ets-related factors{3.5.2}	all	0.84554
Ets-related factors{3.5.2}	all	0.86475
Ets-related factors{3.5.2}	all	0.85188
Ets-related factors{3.5.2}	all	0.72035
Ets-related factors{3.5.2}	all	0.69917
Ets-related factors{3.5.2}	all	0.66517
Ets-related factors{3.5.2}	all	0.75901
Ets-related factors{3.5.2}	all	0.91601
Ets-related factors{3.5.2}	all	0.83429
Ets-related factors{3.5.2}	all	0.90353
Ets-related factors{3.5.2}	all	0.90277
Ets-related factors{3.5.2}	all	0.91974
Ets-related factors{3.5.2}	all	0.91187
Ets-related factors{3.5.2}	all	0.91545
Ets-related factors{3.5.2}	all	0.91023
Ets-related factors{3.5.2}	all	0.92846
Ets-related factors{3.5.2}	all	0.88975
Ets-related factors{3.5.2}	all	0.91157
Ets-related factors{3.5.2}	all	0.92824
Ets-related factors{3.5.2}	all	0.91118
Ets-related factors{3.5.2}	all	0.90939
Ets-related factors{3.5.2}	all	0.91668
Ets-related factors{3.5.2}	all	0.83864
Ets-related factors{3.5.2}	all	0.93304
Ets-related factors{3.5.2}	all	0.81831
Ets-related factors{3.5.2}	all	0.91478
Ets-related factors{3.5.2}	all	0.81974
Ets-related factors{3.5.2}	all	0.91331
Ets-related factors{3.5.2}	all	0.90831
Ets-related factors{3.5.2}	all	0.91363
Ets-related factors{3.5.2}	all	0.91744
Ets-related factors{3.5.2}	all	0.65022
Ets-related factors{3.5.2}	all	0.79969
Ets-related factors{3.5.2}	all	0.82494
Ets-related factors{3.5.2}	all	0.85512
Ets-related factors{3.5.2}	all	0.84738
Ets-related factors{3.5.2}	all	0.92445
Ets-related factors{3.5.2}	all	0.91582
Ets-related factors{3.5.2}	all	0.90522
Ets-related factors{3.5.2}	all	0.88688
Ets-related factors{3.5.2}	all	0.89927
Ets-related factors{3.5.2}	all	0.85682
Ets-related factors{3.5.2}	all	0.84166
Ets-related factors{3.5.2}	all	0.93934
Ets-related factors{3.5.2}	all	0.92164
Ets-related factors{3.5.2}	all	0.92246
Ets-related factors{3.5.2}	all	0.86808
Ets-related factors{3.5.2}	all	0.8649
Ets-related factors{3.5.2}	all	0.9227
Ets-related factors{3.5.2}	all	0.92215
Ets-related factors{3.5.2}	all	0.85868
Ets-related factors{3.5.2}	all	0.8648
Ets-related factors{3.5.2}	all	0.85915
Ets-related factors{3.5.2}	all	0.92546
Ets-related factors{3.5.2}	all	0.95641
Ets-related factors{3.5.2}	all	0.94065
Ets-related factors{3.5.2}	all	0.93299
Ets-related factors{3.5.2}	all	0.94461
Ets-related factors{3.5.2}	all	0.92758
Ets-related factors{3.5.2}	all	0.94599
Ets-related factors{3.5.2}	all	0.67712
Ets-related factors{3.5.2}	all	0.95758
Ets-related factors{3.5.2}	all	0.94398
Ets-related factors{3.5.2}	all	0.91162
Ets-related factors{3.5.2}	all	0.90153
Ets-related factors{3.5.2}	all	0.90328
Ets-related factors{3.5.2}	all	0.76049
Ets-related factors{3.5.2}	all	0.90825
Ets-related factors{3.5.2}	all	0.89942
Ets-related factors{3.5.2}	all	0.84288
Ets-related factors{3.5.2}	all	0.49775
Ets-related factors{3.5.2}	all	0.44668
Ets-related factors{3.5.2}	all	0.64701
Ets-related factors{3.5.2}	all	0.74157
Ets-related factors{3.5.2}	all	0.88577
Ets-related factors{3.5.2}	all	0.87227
Ets-related factors{3.5.2}	all	0.88994
Ets-related factors{3.5.2}	all	0.86215
Ets-related factors{3.5.2}	all	0.84774
Ets-related factors{3.5.2}	all	0.80785
Ets-related factors{3.5.2}	all	0.70233
Ets-related factors{3.5.2}	all	0.6359
Ets-related factors{3.5.2}	all	0.79975
Ets-related factors{3.5.2}	all	0.80052
Ets-related factors{3.5.2}	all	0.87738
Ets-related factors{3.5.2}	all	0.91902
Ets-related factors{3.5.2}	all	0.91691
Ets-related factors{3.5.2}	all	0.9004
Ets-related factors{3.5.2}	all	0.90673
Ets-related factors{3.5.2}	all	0.90383
Ets-related factors{3.5.2}	all	0.77413
Ets-related factors{3.5.2}	all	0.63153
Ets-related factors{3.5.2}	all	0.7212
Ets-related factors{3.5.2}	all	0.76713
Ets-related factors{3.5.2}	all	0.75968
Ets-related factors{3.5.2}	all	0.81123
Ets-related factors{3.5.2}	all	0.71903
Ets-related factors{3.5.2}	all	0.79762
Ets-related factors{3.5.2}	all	0.70509
Ets-related factors{3.5.2}	all	0.67058
Ets-related factors{3.5.2}	all	0.86
Ets-related factors{3.5.2}	all	0.84035
Ets-related factors{3.5.2}	all	0.85564
Ets-related factors{3.5.2}	all	0.83844
Ets-related factors{3.5.2}	all	0.86283
Ets-related factors{3.5.2}	all	0.5191
Ets-related factors{3.5.2}	all	0.84322
Ets-related factors{3.5.2}	all	0.85571
Ets-related factors{3.5.2}	all	0.85956
Ets-related factors{3.5.2}	all	0.73339
Ets-related factors{3.5.2}	all	0.71669
Ets-related factors{3.5.2}	all	0.68419
Ets-related factors{3.5.2}	all	0.76933
Ets-related factors{3.5.2}	all	0.92119
Ets-related factors{3.5.2}	all	0.84154
Ets-related factors{3.5.2}	all	0.91019
Ets-related factors{3.5.2}	all	0.91049
Ets-related factors{3.5.2}	all	0.92541
Ets-related factors{3.5.2}	all	0.92049
Ets-related factors{3.5.2}	all	0.92184
Ets-related factors{3.5.2}	all	0.92008
Ets-related factors{3.5.2}	all	0.93499
Ets-related factors{3.5.2}	all	0.8933
Ets-related factors{3.5.2}	all	0.91673
Ets-related factors{3.5.2}	all	0.93499
Ets-related factors{3.5.2}	all	0.91887
Ets-related factors{3.5.2}	all	0.91697
Ets-related factors{3.5.2}	all	0.92257
Ets-related factors{3.5.2}	all	0.83972
Ets-related factors{3.5.2}	all	0.92541
Ets-related factors{3.5.2}	all	0.81381
Ets-related factors{3.5.2}	all	0.90431
Ets-related factors{3.5.2}	all	0.82262
Ets-related factors{3.5.2}	all	0.92097
Ets-related factors{3.5.2}	all	0.90859
Ets-related factors{3.5.2}	all	0.9084
Ets-related factors{3.5.2}	all	0.90893
Ets-related factors{3.5.2}	all	0.66236
Ets-related factors{3.5.2}	all	0.80397
Ets-related factors{3.5.2}	all	0.82574
Ets-related factors{3.5.2}	all	0.85545
Ets-related factors{3.5.2}	all	0.82663
Ets-related factors{3.5.2}	all	0.92099
Ets-related factors{3.5.2}	all	0.91175
Ets-related factors{3.5.2}	all	0.9031
Ets-related factors{3.5.2}	all	0.89679
Ets-related factors{3.5.2}	all	0.89813
Ets-related factors{3.5.2}	all	0.86355
Ets-related factors{3.5.2}	all	0.84485
Ets-related factors{3.5.2}	all	0.93242
Ets-related factors{3.5.2}	all	0.91071
Ets-related factors{3.5.2}	all	0.91352
Ets-related factors{3.5.2}	all	0.86683
Ets-related factors{3.5.2}	all	0.86586
Ets-related factors{3.5.2}	all	0.91485
Ets-related factors{3.5.2}	all	0.91346
Ets-related factors{3.5.2}	all	0.86154
Ets-related factors{3.5.2}	all	0.87175
Ets-related factors{3.5.2}	all	0.86244
Ets-related factors{3.5.2}	all	0.74932
Ets-related factors{3.5.2}	all	0.86301
Ets-related factors{3.5.2}	all	0.76937
Ets-related factors{3.5.2}	all	0.76548
Ets-related factors{3.5.2}	all	0.786
Ets-related factors{3.5.2}	all	0.796
Ets-related factors{3.5.2}	all	0.81324
Ets-related factors{3.5.2}	all	0.47258
Ets-related factors{3.5.2}	all	0.77857
Ets-related factors{3.5.2}	all	0.77386
Ets-related factors{3.5.2}	all	0.94699
Ets-related factors{3.5.2}	all	0.94274
Ets-related factors{3.5.2}	all	0.94402
Ets-related factors{3.5.2}	all	0.63667
Ets-related factors{3.5.2}	all	0.66835
Ets-related factors{3.5.2}	all	0.64718
Ets-related factors{3.5.2}	all	0.65203
Ets-related factors{3.5.2}	all	0.35137
Ets-related factors{3.5.2}	all	0.31633
Ets-related factors{3.5.2}	all	0.4334
Ets-related factors{3.5.2}	all	0.53788
Ets-related factors{3.5.2}	all	0.74905
Ets-related factors{3.5.2}	all	0.73525
Ets-related factors{3.5.2}	all	0.76242
Ets-related factors{3.5.2}	all	0.75901
Ets-related factors{3.5.2}	all	0.79617
Ets-related factors{3.5.2}	all	0.60333
Ets-related factors{3.5.2}	all	0.63666
Ets-related factors{3.5.2}	all	0.63998
Ets-related factors{3.5.2}	all	0.77007
Ets-related factors{3.5.2}	all	0.78173
Ets-related factors{3.5.2}	all	0.66025
Ets-related factors{3.5.2}	all	0.86829
Ets-related factors{3.5.2}	all	0.69893
Ets-related factors{3.5.2}	all	0.73011
Ets-related factors{3.5.2}	all	0.70507
Ets-related factors{3.5.2}	all	0.69293
Ets-related factors{3.5.2}	all	0.65048
Ets-related factors{3.5.2}	all	0.50894
Ets-related factors{3.5.2}	all	0.58082
Ets-related factors{3.5.2}	all	0.64123
Ets-related factors{3.5.2}	all	0.63242
Ets-related factors{3.5.2}	all	0.69195
Ets-related factors{3.5.2}	all	0.60574
Ets-related factors{3.5.2}	all	0.68693
Ets-related factors{3.5.2}	all	0.57553
Ets-related factors{3.5.2}	all	0.55426
Ets-related factors{3.5.2}	all	0.71362
Ets-related factors{3.5.2}	all	0.68743
Ets-related factors{3.5.2}	all	0.64054
Ets-related factors{3.5.2}	all	0.70108
Ets-related factors{3.5.2}	all	0.80062
Ets-related factors{3.5.2}	all	0.54939
Ets-related factors{3.5.2}	all	0.82337
Ets-related factors{3.5.2}	all	0.83656
Ets-related factors{3.5.2}	all	0.7304
Ets-related factors{3.5.2}	all	0.50477
Ets-related factors{3.5.2}	all	0.4862
Ets-related factors{3.5.2}	all	0.48716
Ets-related factors{3.5.2}	all	0.56476
Ets-related factors{3.5.2}	all	0.70694
Ets-related factors{3.5.2}	all	0.66257
Ets-related factors{3.5.2}	all	0.7317
Ets-related factors{3.5.2}	all	0.68513
Ets-related factors{3.5.2}	all	0.71065
Ets-related factors{3.5.2}	all	0.70422
Ets-related factors{3.5.2}	all	0.73641
Ets-related factors{3.5.2}	all	0.70399
Ets-related factors{3.5.2}	all	0.73107
Ets-related factors{3.5.2}	all	0.73179
Ets-related factors{3.5.2}	all	0.78025
Ets-related factors{3.5.2}	all	0.72934
Ets-related factors{3.5.2}	all	0.71445
Ets-related factors{3.5.2}	all	0.70887
Ets-related factors{3.5.2}	all	0.71333
Ets-related factors{3.5.2}	all	0.83992
Ets-related factors{3.5.2}	all	0.92964
Ets-related factors{3.5.2}	all	0.822
Ets-related factors{3.5.2}	all	0.9098
Ets-related factors{3.5.2}	all	0.82476
Ets-related factors{3.5.2}	all	0.8934
Ets-related factors{3.5.2}	all	0.88668
Ets-related factors{3.5.2}	all	0.89309
Ets-related factors{3.5.2}	all	0.90985
Ets-related factors{3.5.2}	all	0.52725
Ets-related factors{3.5.2}	all	0.69618
Ets-related factors{3.5.2}	all	0.80598
Ets-related factors{3.5.2}	all	0.85588
Ets-related factors{3.5.2}	all	0.83952
Ets-related factors{3.5.2}	all	0.91679
Ets-related factors{3.5.2}	all	0.90518
Ets-related factors{3.5.2}	all	0.87512
Ets-related factors{3.5.2}	all	0.84661
Ets-related factors{3.5.2}	all	0.88082
Ets-related factors{3.5.2}	all	0.85662
Ets-related factors{3.5.2}	all	0.83839
Ets-related factors{3.5.2}	all	0.93098
Ets-related factors{3.5.2}	all	0.91382
Ets-related factors{3.5.2}	all	0.91982
Ets-related factors{3.5.2}	all	0.8678
Ets-related factors{3.5.2}	all	0.86954
Ets-related factors{3.5.2}	all	0.91927
Ets-related factors{3.5.2}	all	0.91262
Ets-related factors{3.5.2}	all	0.8557
Ets-related factors{3.5.2}	all	0.85433
Ets-related factors{3.5.2}	all	0.84471
Ets-related factors{3.5.2}	all	0.82165
Ets-related factors{3.5.2}	all	0.89565
Ets-related factors{3.5.2}	all	0.83971
Ets-related factors{3.5.2}	all	0.83463
Ets-related factors{3.5.2}	all	0.85401
Ets-related factors{3.5.2}	all	0.85555
Ets-related factors{3.5.2}	all	0.87229
Ets-related factors{3.5.2}	all	0.55461
Ets-related factors{3.5.2}	all	0.84941
Ets-related factors{3.5.2}	all	0.84226
Ets-related factors{3.5.2}	all	0.93031
Ets-related factors{3.5.2}	all	0.92144
Ets-related factors{3.5.2}	all	0.92228
Ets-related factors{3.5.2}	all	0.67836
Ets-related factors{3.5.2}	all	0.75996
Ets-related factors{3.5.2}	all	0.7436
Ets-related factors{3.5.2}	all	0.72425
Ets-related factors{3.5.2}	all	0.41396
Ets-related factors{3.5.2}	all	0.36826
Ets-related factors{3.5.2}	all	0.51881
Ets-related factors{3.5.2}	all	0.62693
Ets-related factors{3.5.2}	all	0.79821
Ets-related factors{3.5.2}	all	0.77376
Ets-related factors{3.5.2}	all	0.80017
Ets-related factors{3.5.2}	all	0.77885
Ets-related factors{3.5.2}	all	0.7892
Ets-related factors{3.5.2}	all	0.69054
Ets-related factors{3.5.2}	all	0.66025
Ets-related factors{3.5.2}	all	0.63263
Ets-related factors{3.5.2}	all	0.75918
Ets-related factors{3.5.2}	all	0.76611
Ets-related factors{3.5.2}	all	0.74829
Ets-related factors{3.5.2}	all	0.88077
Ets-related factors{3.5.2}	all	0.77972
Ets-related factors{3.5.2}	all	0.78659
Ets-related factors{3.5.2}	all	0.77636
Ets-related factors{3.5.2}	all	0.77059
Ets-related factors{3.5.2}	all	0.69411
Ets-related factors{3.5.2}	all	0.55361
Ets-related factors{3.5.2}	all	0.63479
Ets-related factors{3.5.2}	all	0.6877
Ets-related factors{3.5.2}	all	0.68396
Ets-related factors{3.5.2}	all	0.73889
Ets-related factors{3.5.2}	all	0.65451
Ets-related factors{3.5.2}	all	0.73251
Ets-related factors{3.5.2}	all	0.62656
Ets-related factors{3.5.2}	all	0.59447
Ets-related factors{3.5.2}	all	0.75897
Ets-related factors{3.5.2}	all	0.72961
Ets-related factors{3.5.2}	all	0.71443
Ets-related factors{3.5.2}	all	0.7439
Ets-related factors{3.5.2}	all	0.82607
Ets-related factors{3.5.2}	all	0.5429
Ets-related factors{3.5.2}	all	0.82742
Ets-related factors{3.5.2}	all	0.83375
Ets-related factors{3.5.2}	all	0.77787
Ets-related factors{3.5.2}	all	0.60182
Ets-related factors{3.5.2}	all	0.57769
Ets-related factors{3.5.2}	all	0.57068
Ets-related factors{3.5.2}	all	0.6505
Ets-related factors{3.5.2}	all	0.79071
Ets-related factors{3.5.2}	all	0.73674
Ets-related factors{3.5.2}	all	0.79147
Ets-related factors{3.5.2}	all	0.77343
Ets-related factors{3.5.2}	all	0.79894
Ets-related factors{3.5.2}	all	0.79052
Ets-related factors{3.5.2}	all	0.81287
Ets-related factors{3.5.2}	all	0.78686
Ets-related factors{3.5.2}	all	0.81459
Ets-related factors{3.5.2}	all	0.79461
Ets-related factors{3.5.2}	all	0.82842
Ets-related factors{3.5.2}	all	0.81139
Ets-related factors{3.5.2}	all	0.79268
Ets-related factors{3.5.2}	all	0.78894
Ets-related factors{3.5.2}	all	0.79619
Ets-related factors{3.5.2}	all	0.83891
Ets-related factors{3.5.2}	all	0.93448
Ets-related factors{3.5.2}	all	0.81829
Ets-related factors{3.5.2}	all	0.91545
Ets-related factors{3.5.2}	all	0.82084
Ets-related factors{3.5.2}	all	0.91069
Ets-related factors{3.5.2}	all	0.90621
Ets-related factors{3.5.2}	all	0.90995
Ets-related factors{3.5.2}	all	0.91553
Ets-related factors{3.5.2}	all	0.59865
Ets-related factors{3.5.2}	all	0.7593
Ets-related factors{3.5.2}	all	0.81785
Ets-related factors{3.5.2}	all	0.85564
Ets-related factors{3.5.2}	all	0.84167
Ets-related factors{3.5.2}	all	0.92499
Ets-related factors{3.5.2}	all	0.91367
Ets-related factors{3.5.2}	all	0.89221
Ets-related factors{3.5.2}	all	0.87388
Ets-related factors{3.5.2}	all	0.89462
Ets-related factors{3.5.2}	all	0.85709
Ets-related factors{3.5.2}	all	0.83983
Ets-related factors{3.5.2}	all	0.94002
Ets-related factors{3.5.2}	all	0.92327
Ets-related factors{3.5.2}	all	0.92945
Ets-related factors{3.5.2}	all	0.87033
Ets-related factors{3.5.2}	all	0.87191
Ets-related factors{3.5.2}	all	0.92801
Ets-related factors{3.5.2}	all	0.92568
Ets-related factors{3.5.2}	all	0.85468
Ets-related factors{3.5.2}	all	0.86243
Ets-related factors{3.5.2}	all	0.85434
Ets-related factors{3.5.2}	all	0.91421
Ets-related factors{3.5.2}	all	0.94681
Ets-related factors{3.5.2}	all	0.9306
Ets-related factors{3.5.2}	all	0.92847
Ets-related factors{3.5.2}	all	0.93079
Ets-related factors{3.5.2}	all	0.91414
Ets-related factors{3.5.2}	all	0.93945
Ets-related factors{3.5.2}	all	0.67716
Ets-related factors{3.5.2}	all	0.94961
Ets-related factors{3.5.2}	all	0.93638
Ets-related factors{3.5.2}	all	0.89014
Ets-related factors{3.5.2}	all	0.88244
Ets-related factors{3.5.2}	all	0.88111
Ets-related factors{3.5.2}	all	0.7857
Ets-related factors{3.5.2}	all	0.93886
Ets-related factors{3.5.2}	all	0.93353
Ets-related factors{3.5.2}	all	0.86754
Ets-related factors{3.5.2}	all	0.51535
Ets-related factors{3.5.2}	all	0.45261
Ets-related factors{3.5.2}	all	0.66656
Ets-related factors{3.5.2}	all	0.75702
Ets-related factors{3.5.2}	all	0.8963
Ets-related factors{3.5.2}	all	0.90763
Ets-related factors{3.5.2}	all	0.91177
Ets-related factors{3.5.2}	all	0.89645
Ets-related factors{3.5.2}	all	0.90077
Ets-related factors{3.5.2}	all	0.82991
Ets-related factors{3.5.2}	all	0.71756
Ets-related factors{3.5.2}	all	0.6542
Ets-related factors{3.5.2}	all	0.82314
Ets-related factors{3.5.2}	all	0.82513
Ets-related factors{3.5.2}	all	0.90234
Ets-related factors{3.5.2}	all	0.92792
Ets-related factors{3.5.2}	all	0.94477
Ets-related factors{3.5.2}	all	0.92971
Ets-related factors{3.5.2}	all	0.93673
Ets-related factors{3.5.2}	all	0.93648
Ets-related factors{3.5.2}	all	0.79829
Ets-related factors{3.5.2}	all	0.65038
Ets-related factors{3.5.2}	all	0.73925
Ets-related factors{3.5.2}	all	0.78833
Ets-related factors{3.5.2}	all	0.77155
Ets-related factors{3.5.2}	all	0.82584
Ets-related factors{3.5.2}	all	0.73713
Ets-related factors{3.5.2}	all	0.81156
Ets-related factors{3.5.2}	all	0.71474
Ets-related factors{3.5.2}	all	0.68351
Ets-related factors{3.5.2}	all	0.89347
Ets-related factors{3.5.2}	all	0.87966
Ets-related factors{3.5.2}	all	0.89168
Ets-related factors{3.5.2}	all	0.87339
Ets-related factors{3.5.2}	all	0.8496
Ets-related factors{3.5.2}	all	0.54215
Ets-related factors{3.5.2}	all	0.84693
Ets-related factors{3.5.2}	all	0.85965
Ets-related factors{3.5.2}	all	0.8688
Ets-related factors{3.5.2}	all	0.7579
Ets-related factors{3.5.2}	all	0.74364
Ets-related factors{3.5.2}	all	0.70271
Ets-related factors{3.5.2}	all	0.79687
Ets-related factors{3.5.2}	all	0.94229
Ets-related factors{3.5.2}	all	0.85541
Ets-related factors{3.5.2}	all	0.93046
Ets-related factors{3.5.2}	all	0.93376
Ets-related factors{3.5.2}	all	0.94614
Ets-related factors{3.5.2}	all	0.93974
Ets-related factors{3.5.2}	all	0.94125
Ets-related factors{3.5.2}	all	0.94299
Ets-related factors{3.5.2}	all	0.95234
Ets-related factors{3.5.2}	all	0.91591
Ets-related factors{3.5.2}	all	0.93187
Ets-related factors{3.5.2}	all	0.95465
Ets-related factors{3.5.2}	all	0.93792
Ets-related factors{3.5.2}	all	0.93953
Ets-related factors{3.5.2}	all	0.94428
Ets-related factors{3.5.2}	all	0.83625
Ets-related factors{3.5.2}	all	0.89477
Ets-related factors{3.5.2}	all	0.8178
Ets-related factors{3.5.2}	all	0.87471
Ets-related factors{3.5.2}	all	0.83079
Ets-related factors{3.5.2}	all	0.90014
Ets-related factors{3.5.2}	all	0.88806
Ets-related factors{3.5.2}	all	0.88463
Ets-related factors{3.5.2}	all	0.88851
Ets-related factors{3.5.2}	all	0.64882
Ets-related factors{3.5.2}	all	0.79641
Ets-related factors{3.5.2}	all	0.82376
Ets-related factors{3.5.2}	all	0.84725
Ets-related factors{3.5.2}	all	0.82283
Ets-related factors{3.5.2}	all	0.89593
Ets-related factors{3.5.2}	all	0.89275
Ets-related factors{3.5.2}	all	0.8913
Ets-related factors{3.5.2}	all	0.8825
Ets-related factors{3.5.2}	all	0.88426
Ets-related factors{3.5.2}	all	0.85604
Ets-related factors{3.5.2}	all	0.8424
Ets-related factors{3.5.2}	all	0.90005
Ets-related factors{3.5.2}	all	0.88036
Ets-related factors{3.5.2}	all	0.87858
Ets-related factors{3.5.2}	all	0.84735
Ets-related factors{3.5.2}	all	0.8439
Ets-related factors{3.5.2}	all	0.87547
Ets-related factors{3.5.2}	all	0.87382
Ets-related factors{3.5.2}	all	0.85801
Ets-related factors{3.5.2}	all	0.85602
Ets-related factors{3.5.2}	all	0.84472
