NKX2-5	BAR15A.NKX2.5_REF_R1_combinatorial
NKX2-8	BAR15A.NKX2.8_REF_R1_combinatorial
ARX	BAR15A.ARX_REF_R1_combinatorial
ARX	BAR15A.ARX_REF_R2_combinatorial
BCL6	BAR15A.BCL6_REF_R1_combinatorial
CRX	BAR15A.CRX_REF_R1_combinatorial
EGR2	BAR15A.EGR2_REF_R1_combinatorial
ESX1	BAR15A.ESX1_REF_R1_combinatorial
FOXC1	BAR15A.FOXC1_REF_R1_combinatorial
GFI1	BAR15A.GFI1_REF_R1_combinatorial
GFI1B	BAR15A.GFI1B_REF_R1_combinatorial
GFI1B	BAR15A.GFI1B_REF_R2_combinatorial
HESX1	BAR15A.HESX1_REF_R1_combinatorial
HESX1	BAR15A.HESX1_REF_R2_combinatorial
HOXB7	BAR15A.HOXB7_REF_R1_combinatorial
HOXB7	BAR15A.HOXB7_REF_R2_combinatorial
HOXC4	BAR15A.HOXC4_REF_R1_combinatorial
HOXC4	BAR15A.HOXC4_REF_R2_combinatorial
HOXD13	BAR15A.HOXD13_REF_R1_combinatorial
HOXD13	BAR15A.HOXD13_REF_R2_combinatorial
HOXD13	BAR15A.HOXD13_REF_R2_original_combinatorial
ISX	BAR15A.ISX_REF_R1_combinatorial
ISX	BAR15A.ISX_REF_R2_combinatorial
KLF1	BAR15A.KLF1_REF_R1_combinatorial
KLF1	BAR15A.KLF1_REF_R2_combinatorial
KLF11	BAR15A.KLF11_REF_R1_combinatorial
MSX2	BAR15A.MSX2_REF_R1_combinatorial
MSX2	BAR15A.MSX2_REF_R2_combinatorial
NR1H4	BAR15A.NR1H4_REF_R1_combinatorial
NR2E3	BAR15A.NR2E3_REF_R1_combinatorial
OVOL2	BAR15A.OVOL2_REF_R1_combinatorial
PAX3	BAR15A.PAX3_REF_R1_combinatorial
PAX4	BAR15A.PAX4_REF_R1_combinatorial
PAX4	BAR15A.PAX4_REF_R2_combinatorial
PAX4	BAR15A.PAX4_REF_R3_combinatorial
PAX6	BAR15A.PAX6_REF_R1_combinatorial
PAX6	BAR15A.PAX6_REF_R2_combinatorial
PAX7	BAR15A.PAX7_REF_R1_combinatorial
PBX4	BAR15A.PBX4_REF_R1_combinatorial
PBX4	BAR15A.PBX4_REF_R2_combinatorial
PHOX2B	BAR15A.PHOX2B_REF_R1_combinatorial
PITX2	BAR15A.PITX2_REF_R1_combinatorial
PITX2	BAR15A.PITX2_REF_R2_combinatorial
POU3F4	BAR15A.POU3F4_REF_R1_combinatorial
POU4F3	BAR15A.POU4F3_REF_R1_combinatorial
POU6F2	BAR15A.POU6F2_REF_R1_combinatorial
PROP1	BAR15A.PROP1_REF_R1_combinatorial
SIX6	BAR15A.SIX6_REF_R1_combinatorial
SIX6	BAR15A.SIX6_REF_R2_combinatorial
SNAI2	BAR15A.SNAI2_REF_R1_combinatorial
VAX2	BAR15A.VAX2_REF_R1_combinatorial
VAX2	BAR15A.VAX2_REF_R2_combinatorial
VENTX	BAR15A.VENTX_REF_R1_combinatorial
VSX1	BAR15A.VSX1_REF_R1_combinatorial
VSX2	BAR15A.VSX2_REF_R1_combinatorial
WT1	BAR15A.WT1_REF_R1_combinatorial
ZNF200	BAR15A.ZNF200_REF_R1_combinatorial
ZNF655	BAR15A.ZNF655_REF_R1_combinatorial
ZNF655	BAR15A.ZNF655_REF_R2_combinatorial
Alx3	Cell08.Alx3_3418.2_deBruijn
Alx4	Cell08.Alx4_1744.1_deBruijn
Arx	Cell08.Arx_1738.2_deBruijn
Bapx1	Cell08.Bapx1_2343.1_deBruijn
Barhl1	Cell08.Barhl1_2590.2_deBruijn
Barhl2	Cell08.Barhl2_3868.1_deBruijn
Barx1	Cell08.Barx1_2877.1_deBruijn
Barx2	Cell08.Barx2_3447.2_deBruijn
Bsx	Cell08.Bsx_3483.2_deBruijn
Cart1	Cell08.Cart1_0997.1_deBruijn
Cart1	Cell08.Cart1_1275.1_deBruijn
Cdx1	Cell08.Cdx1_2245.1_deBruijn
Cdx2	Cell08.Cdx2_4272.1_deBruijn
Cphx	Cell08.Cphx_3484.1_deBruijn
Crx	Cell08.Crx_3485.1_deBruijn
Cutl1	Cell08.Cutl1_3494.1_deBruijn
Cutl1	Cell08.Cutl1_3494.2_deBruijn
Dbx1	Cell08.Dbx1_3486.1_deBruijn
Dbx2	Cell08.Dbx2_3487.1_deBruijn
Dlx1	Cell08.Dlx1_1741.2_deBruijn
Dlx2	Cell08.Dlx2_2273.2_deBruijn
Dlx3	Cell08.Dlx3_1030.1_deBruijn
Dlx4	Cell08.Dlx4_3488.2_deBruijn
Dlx5	Cell08.Dlx5_3419.2_deBruijn
Dmbx1	Cell08.Dmbx1_2277.1_deBruijn
Dobox4	Cell08.Dobox4_3956.2_deBruijn
Dobox5	Cell08.Dobox5_3493.1_deBruijn
Duxl	Cell08.Duxl_1286.2_deBruijn
Emx2	Cell08.Emx2_3420.1_deBruijn
En1	Cell08.En1_3123.2_deBruijn
En2	Cell08.En2_0952.1_deBruijn
Esx1	Cell08.Esx1_3124.2_deBruijn
Evx1	Cell08.Evx1_3952.2_deBruijn
Evx2	Cell08.Evx2_2645.3_deBruijn
Gbx1	Cell08.Gbx1_2883.2_deBruijn
Gbx2	Cell08.Gbx2_3110.1_deBruijn
Gsc	Cell08.Gsc_2327.3_deBruijn
Gsh2	Cell08.Gsh2_3990.2_deBruijn
Hdx	Cell08.Hdx_3845.3_deBruijn
Hlx1	Cell08.Hlx1_2350.1_deBruijn
Hlxb9	Cell08.Hlxb9_3422.1_deBruijn
Hmbox1	Cell08.Hmbox1_2674.1_deBruijn
